Category	Gene symbol
ECM Glycoproteins	ABI3BP
Proteoglycans	ACAN
ECM Glycoproteins	ADIPOQ
ECM Glycoproteins	AEBP1
ECM Glycoproteins	AGRN
ECM Glycoproteins	AMBN
ECM Glycoproteins	AMELX
ECM Glycoproteins	AMELY
Proteoglycans	ASPN
Proteoglycans	BCAN
ECM Glycoproteins	BGLAP
Proteoglycans	BGN
ECM Glycoproteins	BMPER
ECM Glycoproteins	BSPH1
ECM Glycoproteins	C15orf44
ECM Glycoproteins	C21orf29
ECM Glycoproteins	C3orf50
ECM Glycoproteins	C4orf31
ECM Glycoproteins	C6orf27
ECM Glycoproteins	C8orf84
ECM Glycoproteins	CDCP2
Proteoglycans	CHAD
Proteoglycans	CHADL
ECM Glycoproteins	CILP
ECM Glycoproteins	CILP2
ECM Glycoproteins	COCH
Collagens	COL10A1
Collagens	COL11A1
Collagens	COL11A2
Collagens	COL12A1
Collagens	COL13A1
Collagens	COL14A1
Collagens	COL15A1
Collagens	COL16A1
Collagens	COL17A1
Collagens	COL18A1
Collagens	COL19A1
Collagens	COL1A1
Collagens	COL1A2
Collagens	COL20A1
Collagens	COL21A1
Collagens	COL22A1
Collagens	COL23A1
Collagens	COL24A1
Collagens	COL25A1
Collagens	COL27A1
Collagens	COL28A1
Collagens	COL2A1
Collagens	COL3A1
Collagens	COL4A1
Collagens	COL4A2
Collagens	COL4A3
Collagens	COL4A4
Collagens	COL4A5
Collagens	COL4A6
Collagens	COL5A1
Collagens	COL5A2
Collagens	COL5A3
Collagens	COL6A1
Collagens	COL6A2
Collagens	COL6A3
Collagens	COL6A4P1
Collagens	COL6A4P2
Collagens	COL6A5
Collagens	COL6A6
Collagens	COL7A1
Collagens	COL8A1
Collagens	COL8A2
Collagens	COL9A1
Collagens	COL9A2
Collagens	COL9A3
ECM Glycoproteins	COLQ
ECM Glycoproteins	COMP
ECM Glycoproteins	CRELD1
ECM Glycoproteins	CRELD2
ECM Glycoproteins	CRIM1
ECM Glycoproteins	CRISPLD1
ECM Glycoproteins	CRISPLD2
ECM Glycoproteins	CTGF
ECM Glycoproteins	CTHRC1
ECM Glycoproteins	CYR61
Proteoglycans	DCN
ECM Glycoproteins	DDX26B
ECM Glycoproteins	DMBT1
ECM Glycoproteins	DMP1
ECM Glycoproteins	DPT
ECM Glycoproteins	DSPP
ECM Glycoproteins	ECM1
ECM Glycoproteins	ECM2
ECM Glycoproteins	EDIL3
ECM Glycoproteins	EFEMP1 (fibulin-3)
ECM Glycoproteins	EFEMP2 (fibulin-4)
ECM Glycoproteins	EGFLAM
ECM Glycoproteins	ELN
ECM Glycoproteins	ELSPBP1
ECM Glycoproteins	EMID1
ECM Glycoproteins	EMID2
ECM Glycoproteins	EMILIN1
ECM Glycoproteins	EMILIN2
ECM Glycoproteins	EMILIN3
Proteoglycans	EPYC
Proteoglycans	ESM1
ECM Glycoproteins	EYS
ECM Glycoproteins	FBLN1
ECM Glycoproteins	FBLN2
ECM Glycoproteins	FBLN5
ECM Glycoproteins	FBLN7
ECM Glycoproteins	FBN1
ECM Glycoproteins	FBN2
ECM Glycoproteins	FBN3
ECM Glycoproteins	FGA
ECM Glycoproteins	FGB
ECM Glycoproteins	FGG
ECM Glycoproteins	FGL1
ECM Glycoproteins	FGL2
ECM Glycoproteins	FLJ46361
Proteoglycans	FMOD
ECM Glycoproteins	FN1
ECM Glycoproteins	FNDC1
ECM Glycoproteins	FNDC7
ECM Glycoproteins	FNDC8
ECM Glycoproteins	FRAS1
ECM Glycoproteins	GAS6
ECM Glycoproteins	gene_A6NLB4
ECM Glycoproteins	GLDN
Proteoglycans	HAPLN1
Proteoglycans	HAPLN2
Proteoglycans	HAPLN3
Proteoglycans	HAPLN4
ECM Glycoproteins	HMCN1
ECM Glycoproteins	HMCN2
Proteoglycans	HSPG2
ECM Glycoproteins	IBSP
ECM Glycoproteins	IGFALS
ECM Glycoproteins	IGFBP1
ECM Glycoproteins	IGFBP2
ECM Glycoproteins	IGFBP3
ECM Glycoproteins	IGFBP4
ECM Glycoproteins	IGFBP5
ECM Glycoproteins	IGFBP6
ECM Glycoproteins	IGFBP7
ECM Glycoproteins	IGFBPL1
ECM Glycoproteins	IGSF10
Proteoglycans	IMPG1
Proteoglycans	IMPG2
ECM Glycoproteins	KAL1
ECM Glycoproteins	KCP
Proteoglycans	KERA
ECM Glycoproteins	LAMA1
ECM Glycoproteins	LAMA2
ECM Glycoproteins	LAMA3
ECM Glycoproteins	LAMA4
ECM Glycoproteins	LAMA5
ECM Glycoproteins	LAMB1
ECM Glycoproteins	LAMB2
ECM Glycoproteins	LAMB3
ECM Glycoproteins	LAMB4
ECM Glycoproteins	LAMC1
ECM Glycoproteins	LAMC2
ECM Glycoproteins	LAMC3
ECM Glycoproteins	LGI1
ECM Glycoproteins	LGI2
ECM Glycoproteins	LGI3
ECM Glycoproteins	LGI4
ECM Glycoproteins	LRG1
ECM Glycoproteins	LTBP1
ECM Glycoproteins	LTBP2
ECM Glycoproteins	LTBP3
ECM Glycoproteins	LTBP4
Proteoglycans	LUM
ECM Glycoproteins	MATN1
ECM Glycoproteins	MATN2
ECM Glycoproteins	MATN3
ECM Glycoproteins	MATN4
ECM Glycoproteins	MEPE
ECM Glycoproteins	MFAP1
ECM Glycoproteins	MFAP2
ECM Glycoproteins	MFAP3
ECM Glycoproteins	MFAP4
ECM Glycoproteins	MFAP5
ECM Glycoproteins	MFGE8
ECM Glycoproteins	MGP
ECM Glycoproteins	MMRN1
ECM Glycoproteins	MMRN2
ECM Glycoproteins	MXRA5
Proteoglycans	NCAN
ECM Glycoproteins	NELL1
ECM Glycoproteins	NELL2
Proteoglycans	NEPNP
ECM Glycoproteins	NID1
ECM Glycoproteins	NID2
ECM Glycoproteins	NOV
ECM Glycoproteins	NPNT
ECM Glycoproteins	NTN1
ECM Glycoproteins	NTN3
ECM Glycoproteins	NTN4
ECM Glycoproteins	NTN5
ECM Glycoproteins	NTNG1
ECM Glycoproteins	NTNG2
Proteoglycans	NYX
Proteoglycans	OGN
ECM Glycoproteins	OIT3
Proteoglycans	OMD
Proteoglycans	OPTC
ECM Glycoproteins	OTOG
ECM Glycoproteins	OTOL1
ECM Glycoproteins	PAPLN
ECM Glycoproteins	PCOLCE
ECM Glycoproteins	PCOLCE2
Proteoglycans	PODN
Proteoglycans	PODNL1
ECM Glycoproteins	POMZP3
ECM Glycoproteins	POSTN
Proteoglycans	PRELP
Proteoglycans	PRG2
Proteoglycans	PRG3
Proteoglycans	PRG4
ECM Glycoproteins	PXDN
ECM Glycoproteins	PXDNL
ECM Glycoproteins	RELN
ECM Glycoproteins	RSPO1
ECM Glycoproteins	RSPO2
ECM Glycoproteins	RSPO3
ECM Glycoproteins	RSPO4
ECM Glycoproteins	SLIT1
ECM Glycoproteins	SLIT2
ECM Glycoproteins	SLIT3
ECM Glycoproteins	SMOC1
ECM Glycoproteins	SMOC2
ECM Glycoproteins	SNED1
ECM Glycoproteins	SPARC
ECM Glycoproteins	SPARCL1
Proteoglycans	SPOCK1
Proteoglycans	SPOCK2
Proteoglycans	SPOCK3
ECM Glycoproteins	SPON1
ECM Glycoproteins	SPON2
ECM Glycoproteins	SPP1
Proteoglycans	SRGN
ECM Glycoproteins	SRPX
ECM Glycoproteins	SRPX2
ECM Glycoproteins	SSPO
ECM Glycoproteins	SVEP1
ECM Glycoproteins	TECTA
ECM Glycoproteins	TECTB
ECM Glycoproteins	TGFBI
ECM Glycoproteins	THBS1
ECM Glycoproteins	THBS2
ECM Glycoproteins	THBS3
ECM Glycoproteins	THBS4
ECM Glycoproteins	THSD4
ECM Glycoproteins	TINAG
ECM Glycoproteins	TINAGL1
ECM Glycoproteins	TNC
ECM Glycoproteins	TNFAIP6
ECM Glycoproteins	TNN
ECM Glycoproteins	TNR
ECM Glycoproteins	TNXA
ECM Glycoproteins	TNXB
ECM Glycoproteins	TSKU
Proteoglycans	VCAN
ECM Glycoproteins	VIT
ECM Glycoproteins	VTN
ECM Glycoproteins	VWA1
ECM Glycoproteins	VWA2
ECM Glycoproteins	VWA3A
ECM Glycoproteins	VWA3B
ECM Glycoproteins	VWA5A
ECM Glycoproteins	VWA5B1
ECM Glycoproteins	VWA5B2
ECM Glycoproteins	VWCE
ECM Glycoproteins	VWDE
ECM Glycoproteins	VWF
ECM Glycoproteins	WISP1
ECM Glycoproteins	WISP2
ECM Glycoproteins	WISP3
ECM Glycoproteins	ZP1
ECM Glycoproteins	ZP2
ECM Glycoproteins	ZP3
ECM Glycoproteins	ZP4
ECM Glycoproteins	ZPLD1
ECM-affiliated Proteins	ANXA1
ECM-affiliated Proteins	ANXA10
ECM-affiliated Proteins	ANXA11
ECM-affiliated Proteins	ANXA13
ECM-affiliated Proteins	ANXA2
ECM-affiliated Proteins	ANXA2P2
ECM-affiliated Proteins	ANXA3
ECM-affiliated Proteins	ANXA4
ECM-affiliated Proteins	ANXA5
ECM-affiliated Proteins	ANXA6
ECM-affiliated Proteins	ANXA7
ECM-affiliated Proteins	ANXA8
ECM-affiliated Proteins	ANXA8L1
ECM-affiliated Proteins	ANXA8L2
ECM-affiliated Proteins	ANXA9
ECM-affiliated Proteins	BPIFA4P
ECM-affiliated Proteins	C1QA
ECM-affiliated Proteins	C1QB
ECM-affiliated Proteins	C1QC
ECM-affiliated Proteins	C1QL1
ECM-affiliated Proteins	C1QL2
ECM-affiliated Proteins	C1QL3
ECM-affiliated Proteins	C1QL4
ECM-affiliated Proteins	C1QTNF1
ECM-affiliated Proteins	C1QTNF2
ECM-affiliated Proteins	C1QTNF3
ECM-affiliated Proteins	C1QTNF4
ECM-affiliated Proteins	C1QTNF5
ECM-affiliated Proteins	C1QTNF6
ECM-affiliated Proteins	C1QTNF7
ECM-affiliated Proteins	C1QTNF8
ECM-affiliated Proteins	C1QTNF9
ECM-affiliated Proteins	CD209
ECM-affiliated Proteins	CLC
ECM-affiliated Proteins	CLEC10A
ECM-affiliated Proteins	CLEC11A
ECM-affiliated Proteins	CLEC12A
ECM-affiliated Proteins	CLEC12B
ECM-affiliated Proteins	CLEC14A
ECM-affiliated Proteins	CLEC17A
ECM-affiliated Proteins	CLEC18A
ECM-affiliated Proteins	CLEC18B
ECM-affiliated Proteins	CLEC18C
ECM-affiliated Proteins	CLEC19A
ECM-affiliated Proteins	CLEC1A
ECM-affiliated Proteins	CLEC1B
ECM-affiliated Proteins	CLEC2A
ECM-affiliated Proteins	CLEC2B
ECM-affiliated Proteins	CLEC2D
ECM-affiliated Proteins	CLEC2L
ECM-affiliated Proteins	CLEC3A
