										
Header	--------------------------------------------------------									
										
Search title	Organ Analysis									
Timestamp	2013-01-31T22:01:07Z									
User	Ryan									
Email										
Report URI	http://hsc-mascot2/mascot/cgi/master_results.pl?file=E:/mascot/data/20130131/F064980.dat									
Peak list data path	C:\Users\msf_admin\Documents\RyanH\Organ Analysis 201212\Heart\20121218_Heart_Frac1_Run01_ITMSms2cid.txt									
Peak list format	Mascot generic									
Search type	MIS									
Mascot version	2.4.1									
Database	IPI_HumanMouse									
Fasta file	IPI_HumanMouse_Annot.FASTA									
Total sequences	150131									
Total residues	62755156									
Sequences after taxonomy filter	150131									
Number of queries	5700									
										
Decoy	--------------------------------------------------------									
										
Number of matches above identity threshold in search of real database	1974									
Number of matches above identity threshold in search of decoy database	51									
Number of matches above homology threshold in search of real database	2411									
Number of matches above homology threshold in search of decoy database	101									
										
Fixed modifications	--------------------------------------------------------									
										
Identifier	Name	Delta	Neutral loss							
1	Carbamidomethyl (C)	57.021464								
										
Variable modifications	--------------------------------------------------------									
										
Identifier	Name	Delta	Neutral loss(es)							
1	Acetyl (Protein N-term)	42.010565								
2	Gln->pyro-Glu (N-term Q)	-17.026549								
3	Oxidation (M)	15.994915	0	63.998285						
4	Oxidation (P)	15.994915								
										
Search Parameters	--------------------------------------------------------									
										
Taxonomy filter	All entries									
Enzyme	Trypsin									
Maximum Missed Cleavages	1									
Fixed modifications	Carbamidomethyl (C)									
Variable modifications	Acetyl (Protein N-term),Gln->pyro-Glu (N-term Q),Oxidation (M),Oxidation (P)									
Peptide Mass Tolerance	15									
Peptide Mass Tolerance Units	ppm									
Fragment Mass Tolerance	0.6									
Fragment Mass Tolerance Units	Da									
Mass values	Monoisotopic									
Instrument type	Default									
Isotope error mode	1									
Decoy database also searched	1									
										
Format parameters	--------------------------------------------------------									
										
Significance threshold	0.05									
Max. number of hits	0									
Use MudPIT protein scoring	1									
Ions score cut-off	0									
Include same-set proteins	0									
Include sub-set proteins	0									
Include unassigned	0									
Require bold red	1									
Use homology threshold	1									
Group protein families	0									
Re-score using Percolator	0									
										
Protein hits	--------------------------------------------------------									
										
prot_hit_num	prot_acc	prot_desc	prot_score	prot_mass	prot_matches	prot_matches_sig	prot_sequences	prot_sequences_sig	prot_cover	prot_len
1	IPI00129404	Tax_Id=10090 Gene_Symbol=Myh6 Myosin-6	13595	224225	512	404	139	119	64.7	1938
										
2	IPI00130653	Tax_Id=10090 Gene_Symbol=Myh7 Myosin-7	9241	223539	357	272	103	83	46.8	1935
										
3	IPI00988950	Tax_Id=10090 Gene_Symbol=Hbb-b1;Beta-s hemoglobin subunit beta-1-like	6552	15795	292	236	16	15	95.2	147
										
4	IPI00468481	Tax_Id=10090 Gene_Symbol=Atp5b ATP synthase subunit beta, mitochondrial	2547	56265	113	88	30	26	76.6	529
										
5	IPI00845802	Tax_Id=10090 Gene_Symbol=Hba-a2;Hba-a1 hemoglobin alpha, adult chain 2	2457	15160	176	123	12	11	91.5	142
										
6	IPI00469114	Tax_Id=10090 Gene_Symbol=Hba-a2;Hba-a1 Hemoglobin subunit alpha	2450	15133	177	125	12	11	91.5	142
										
7	IPI00023006	Tax_Id=9606 Gene_Symbol=ACTC1 Actin, alpha cardiac muscle 1	2349	42334	108	87	20	18	55.4	377
										
8	IPI00130280	Tax_Id=10090 Gene_Symbol=Atp5a1 ATP synthase subunit alpha, mitochondrial	2214	59830	101	72	29	25	56.4	553
										
9	IPI00021428	Tax_Id=9606 Gene_Symbol=ACTA1 Actin, alpha skeletal muscle	2112	42366	102	82	20	18	55.4	377
										
10	IPI00984879	Tax_Id=9606 Gene_Symbol=ACTA2 cDNA FLJ52761, highly similar to Actin, aortic smooth muscle	1762	37567	85	66	17	14	51.8	332
										
11	IPI00021439	Tax_Id=9606 Gene_Symbol=ACTB Actin, cytoplasmic 1	1494	42052	79	62	17	15	49.6	375
										
12	IPI00473320	Tax_Id=10090 Gene_Symbol=Actb Putative actin, beta	1387	42115	76	59	17	14	48.7	374
										
13	IPI00895002	Tax_Id=10090 Gene_Symbol=Mybpc3 myosin-binding protein C, cardiac-type	1268	142505	53	42	29	22	30.4	1278
										
14	IPI00468900	Tax_Id=10090 Gene_Symbol=Atp2a2 Isoform SERCA2A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1227	111165	58	44	27	22	37.5	998
										
