										
Header	--------------------------------------------------------									
										
Search title	Organ Analysis Lung_F1									
Timestamp	2013-01-31T23:30:49Z									
User	Ryan									
Email										
Report URI	http://hsc-mascot2/mascot/cgi/master_results.pl?file=E:/mascot/data/20130131/F065032.dat									
Peak list data path	C:\Users\msf_admin\Documents\RyanH\Organ Analysis 201212\Lung\20121218_Lung_Frac1_Run02_ITMSms2cid.txt									
Peak list format	Mascot generic									
Search type	MIS									
Mascot version	2.4.1									
Database	IPI_HumanMouse									
Fasta file	IPI_HumanMouse_Annot.FASTA									
Total sequences	150131									
Total residues	62755156									
Sequences after taxonomy filter	150131									
Number of queries	3517									
										
Decoy	--------------------------------------------------------									
										
Number of matches above identity threshold in search of real database	1212									
Number of matches above identity threshold in search of decoy database	23									
Number of matches above homology threshold in search of real database	1468									
Number of matches above homology threshold in search of decoy database	48									
										
Fixed modifications	--------------------------------------------------------									
										
Identifier	Name	Delta	Neutral loss							
1	Carbamidomethyl (C)	57.021464								
										
Variable modifications	--------------------------------------------------------									
										
Identifier	Name	Delta	Neutral loss(es)							
1	Acetyl (Protein N-term)	42.010565								
2	Gln->pyro-Glu (N-term Q)	-17.026549								
3	Oxidation (M)	15.994915	0	63.998285						
4	Oxidation (P)	15.994915								
										
Search Parameters	--------------------------------------------------------									
										
Taxonomy filter	All entries									
Enzyme	Trypsin									
Maximum Missed Cleavages	1									
Fixed modifications	Carbamidomethyl (C)									
Variable modifications	Acetyl (Protein N-term),Gln->pyro-Glu (N-term Q),Oxidation (M),Oxidation (P)									
Peptide Mass Tolerance	15									
Peptide Mass Tolerance Units	ppm									
Fragment Mass Tolerance	0.6									
Fragment Mass Tolerance Units	Da									
Mass values	Monoisotopic									
Instrument type	Default									
Isotope error mode	1									
Decoy database also searched	1									
										
Format parameters	--------------------------------------------------------									
										
Significance threshold	0.05									
Max. number of hits	0									
Use MudPIT protein scoring	1									
Ions score cut-off	0									
Include same-set proteins	0									
Include sub-set proteins	0									
Include unassigned	0									
Require bold red	1									
Use homology threshold	1									
Group protein families	0									
Re-score using Percolator	0									
										
Protein hits	--------------------------------------------------------									
										
prot_hit_num	prot_acc	prot_desc	prot_score	prot_mass	prot_matches	prot_matches_sig	prot_sequences	prot_sequences_sig	prot_cover	prot_len
1	IPI00988950	Tax_Id=10090 Gene_Symbol=Hbb-b1;Beta-s hemoglobin subunit beta-1-like	6685	15795	245	218	14	14	95.2	147
										
2	IPI00021439	Tax_Id=9606 Gene_Symbol=ACTB Actin, cytoplasmic 1	2986	42052	123	106	19	18	60.3	375
										
3	IPI01015522	Tax_Id=9606 Gene_Symbol=ACTB cDNA FLJ55253, highly similar to Actin, cytoplasmic 1	2676	38950	110	96	17	16	61.7	347
										
4	IPI00845802	Tax_Id=10090 Gene_Symbol=Hba-a2;Hba-a1 hemoglobin alpha, adult chain 2	2141	15160	130	96	10	10	91.5	142
										
5	IPI00131695	Tax_Id=10090 Gene_Symbol=Alb Serum albumin	1898	70700	83	66	16	15	27.6	608
										
6	IPI00023006	Tax_Id=9606 Gene_Symbol=ACTC1 Actin, alpha cardiac muscle 1	1780	42334	102	76	18	17	57.8	377
										
7	IPI00020101	Tax_Id=9606 Gene_Symbol=HIST1H2BG;HIST1H2BI;HIST1H2BE;HIST1H2BC;HIST1H2BF;NCALD Histone H2B type 1-C/E/F/G/I	1148	13898	33	28	6	5	50	126
										
8	IPI00114628	Tax_Id=10090 Gene_Symbol=Inmt Indolethylamine N-methyltransferase	1029	30068	45	42	9	9	38.3	264
										
9	IPI00316491	Tax_Id=10090 Gene_Symbol=Hbb-b2 Hemoglobin subunit beta-2	1003	15982	67	58	6	6	44.2	147
										
10	IPI00407339	Tax_Id=10090 Gene_Symbol=Hist1h4c;Hist1h4i;Hist1h4d;Hist1h4j;Hist1h4m;Hist1h4h;Hist1h4k;Hist1h4b;Hist4h4;Hist1h4a;Hist1h4f;Hist2h4;Hist1h4n Histone H4	964	11360	50	37	9	9	60.2	103
										
11	IPI00128642	Tax_Id=10090 Gene_Symbol=Cbr2 Carbonyl reductase [NADPH] 2	960	26056	55	41	11	9	52.9	244
										
12	IPI00007752	Tax_Id=9606 Gene_Symbol=TUBB2C Tubulin beta-2C chain	917	50255	35	31	12	12	38.2	445
										
13	IPI00218343	Tax_Id=9606 Gene_Symbol=TUBA1C Tubulin alpha-1C chain	916	50548	40	32	12	10	41.2	449
										
